0 2.00 LARM_XYZ_ABS 0.500 0.008 0.200 -90.0 -90.0 90.0
0 2.00 LARM_XYZ_ABS 0.500 0.008 0.104 -90.0 -90.0 90.0
0 2.00 LHAND_JNT_CLOSE 0 0 0 0 0 0
#0 1.00 LARM_XYZ_ABS 0.500 0.008 0.200 -90.0 -90.0 90.0
#0 0.65 LARM_XYZ_ABS 0.520 0.008 0.500 -90.0 -90.0 90.0
0 0.65 LARM_XYZ_ABS 0.520 0.008 0.510 180.0 -60.0 -180.0
0 0.50 LARM_XYZ_ABS 0.500 0.008 0.200 -90.0 -90.0 90.0
0 2.00 LARM_XYZ_ABS 0.470 0.350 0.200 -90.0 -90.0 90.0
0 0.50 JOINT_REL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.716 -0.716 0.974 -0.974
0 3.0 JOINT_ABS 0 0 0 -10 -25.7 -127.5 0 0 0 23 -25.7 -127.5 -7 0 0 0.716 -0.716 0.974 -0.974
